reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-2768,Fourniture et installation de matériel informatique,46 090 804 DH,2025-07-19,Barid Al-Maghrib,"766, rue de Guilbert, Tétouan",+33 (0)5 62 50 07 70,+33 (0)2 43 33 97 99,205 jours,63 jours,142 jours,Attestation fiscale; Certificat de qualification et classification; Attestation CNSS; Registre de commerce; Procuration (si applicable),Attestations de formation; Certificats de conformité; Références similaires,Bordereau des prix unitaires; Bilan des 3 dernières années; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Ingénieur d'État,10 ans,Management d'équipe; Gestion de projet; Normes ISO; Audit technique,Diplôme d'ingénieur,15 ans,Normes ISO; Audit technique; Expertise sectorielle; Analyse technique; Contrôle qualité,Diplôme d'ingénieur,14 ans,Analyse technique; Contrôle qualité; Management d'équipe,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-4340,Maintenance des équipements électriques,37 719 451 DH,2025-07-15,Royal Air Maroc,"21, boulevard de Gosselin, Mohammedia",04 44 07 07 05,04 23 42 91 35,215 jours,77 jours,138 jours,Attestation CNSS; Procuration (si applicable); Caution provisoire,Certificats de conformité; Note technique détaillée; CV des intervenants; Références similaires,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,MBA,13 ans,Management d'équipe; Normes ISO; Contrôle qualité; Analyse technique,Diplôme d'ingénieur,6 ans,Planification; Audit technique; Expertise sectorielle,MBA,8 ans,Normes ISO; Audit technique; Management d'équipe; Analyse technique,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-4199,Services de sécurité et gardiennage,8 378 575 DH,2025-07-28,Barid Al-Maghrib,"11, avenue de Dupré, Beni Mellal",05 57 48 64 64,+33 4 86 47 78 77,260 jours,116 jours,144 jours,Procuration (si applicable); Registre de commerce; Certificat de qualification et classification,Certificats de conformité; Planning d'exécution; Références similaires; Attestations de formation,Bilan des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum,Doctorat,10 ans,Management d'équipe; Formation; Audit technique; Normes ISO,Diplôme d'ingénieur,10 ans,Gestion de projet; Expertise sectorielle; Audit technique; Contrôle qualité; Normes ISO,Master spécialisé,6 ans,Gestion de projet; Planification; Management d'équipe,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-7649,Travaux de construction d'un centre de santé,16 473 508 DH,2025-07-13,Ministère de l'Intérieur,"59, rue Becker, Casablanca",0587495582,0366340385,323 jours,81 jours,242 jours,Attestation fiscale; Registre de commerce; Procuration (si applicable); Caution provisoire,Note technique détaillée; Planning d'exécution; Attestations de formation; Certificats de conformité; Références similaires,Acte d'engagement; Attestation bancaire; Bordereau des prix unitaires; Bilan des 3 dernières années,Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Master en management,11 ans,Planification; Gestion de projet; Formation; Normes ISO; Expertise sectorielle,Diplôme d'ingénieur,19 ans,Normes ISO; Audit technique; Gestion de projet; Analyse technique,Master spécialisé,20 ans,Management d'équipe; Gestion de projet; Formation; Expertise sectorielle,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-3811,Fourniture de mobilier de bureau,30 867 928 DH,2025-08-10,Office National de l'Électricité et de l'Eau Potable,"56, rue Lévêque, Safi",+33 3 20 84 10 84,0237580792,72 jours,32 jours,40 jours,Attestation CNSS; Certificat de qualification et classification; Registre de commerce; Caution provisoire,CV des intervenants; Note technique détaillée; Références similaires; Attestations de formation; Planning d'exécution,Devis quantitatif et estimatif; Attestation bancaire; Bilan des 3 dernières années,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Master en management,9 ans,Normes ISO; Formation; Audit technique,MBA,19 ans,Formation; Management d'équipe; Audit technique; Normes ISO,Diplôme d'ingénieur,18 ans,Planification; Normes ISO; Contrôle qualité,75%,25%,60%,75%,25%,True,www.marchespublics.gov.ma
AO-2025-8739,Prestation de services de nettoyage,6 452 992 DH,2025-07-12,Office National de l'Électricité et de l'Eau Potable,"chemin Reynaud, Rabat",+33 5 55 89 43 71,0491997258,248 jours,102 jours,146 jours,Attestation fiscale; Registre de commerce; Caution provisoire; Procuration (si applicable),Certificats de conformité; Planning d'exécution; Note technique détaillée; Attestations de formation; CV des intervenants,Attestation bancaire; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Doctorat,16 ans,Formation; Planification; Management d'équipe; Expertise sectorielle; Audit technique,Ingénieur d'État,6 ans,Expertise sectorielle; Formation; Normes ISO; Management d'équipe; Contrôle qualité,MBA,14 ans,Formation; Contrôle qualité; Management d'équipe; Normes ISO,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-8417,Travaux de construction d'un centre de santé,24 664 157 DH,2025-07-12,Ministère de l'Intérieur,"chemin Marguerite Rey, El Jadida",0739632431,0532433537,99 jours,47 jours,52 jours,Certificat de qualification et classification; Registre de commerce; Attestation fiscale; Attestation CNSS,Planning d'exécution; Attestations de formation; CV des intervenants,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bilan des 3 dernières années; Attestation bancaire,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Master spécialisé,12 ans,Audit technique; Normes ISO; Gestion de projet,MBA,18 ans,Analyse technique; Contrôle qualité; Formation,Master en management,9 ans,Management d'équipe; Contrôle qualité; Planification; Expertise sectorielle; Audit technique,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-7200,Services de sécurité et gardiennage,32 664 811 DH,2025-07-31,Ministère de l'Intérieur,"890, chemin Jourdan, Safi",+33 (0)6 32 95 51 50,+33 (0)5 57 75 10 09,273 jours,93 jours,180 jours,Attestation fiscale; Attestation CNSS; Procuration (si applicable); Certificat de qualification et classification,Planning d'exécution; Certificats de conformité; Références similaires,Attestation bancaire; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales,Diplôme d'ingénieur,5 ans,Expertise sectorielle; Contrôle qualité; Normes ISO; Planification; Analyse technique,MBA,5 ans,Contrôle qualité; Analyse technique; Planification,Master en management,7 ans,Formation; Analyse technique; Gestion de projet,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-2905,Travaux de construction d'un centre de santé,9 317 817 DH,2025-07-21,Office National de l'Électricité et de l'Eau Potable,"73, chemin Toussaint, Nador",+33 3 26 15 55 25,0620955241,183 jours,35 jours,148 jours,Certificat de qualification et classification; Registre de commerce; Attestation CNSS; Caution provisoire,Note technique détaillée; Planning d'exécution; Attestations de formation; Certificats de conformité,Attestation bancaire; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,Master spécialisé,17 ans,Gestion de projet; Analyse technique; Formation; Management d'équipe; Normes ISO,Diplôme d'ingénieur,15 ans,Management d'équipe; Analyse technique; Gestion de projet,Master en management,17 ans,Management d'équipe; Audit technique; Gestion de projet,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-6206,Maintenance des équipements électriques,21 807 231 DH,2025-07-30,Office National des Chemins de Fer,"69, rue de Adam, Agadir",04 82 41 03 45,0237473629,253 jours,119 jours,134 jours,Caution provisoire; Attestation CNSS; Attestation fiscale; Procuration (si applicable),CV des intervenants; Attestations de formation; Références similaires,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bilan des 3 dernières années; Acte d'engagement,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Doctorat,10 ans,Planification; Expertise sectorielle; Audit technique; Analyse technique; Formation,Ingénieur d'État,7 ans,Analyse technique; Gestion de projet; Formation; Contrôle qualité; Management d'équipe,MBA,15 ans,Formation; Audit technique; Gestion de projet; Expertise sectorielle; Contrôle qualité,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
