id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procedure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation,notes_techniques_non_gagnants,capacites_financieres,experiences_non_gagnants,historiques_non_gagnants,complexite_projet,exigences_techniques_detaillees,localisations_soumissionnaires,tailles_entreprises,contexte_economique,poids_criteres_attribution,historique_ao_similaires,details_annulations
1,Appel d'offre pour maintenance à Rabat,Marché public concernant le secteur maintenance pour Ministère de l'Intérieur,Travaux,Maintenance,Ministère de l'Intérieur,Maroc,Dakhla-Oued Ed-Dahab,Rabat,2025-07-13,2025-08-16,2025-08-29,4580973 DH,AFRIQUIA; LYDEC; MICROSOFT MAROC; INGEMA; TECHNO PARK,4911827.07; 5492926.84; 5115979.26; 5027489.31; 5262450.03,TECHNO PARK,5262450.03 DH,5162134.50 DH,0.1488,230,Concours,Rapport qualité-prix,5,Non,8,9,97,Annulé,Absence d'offres,63; 92; 68; 65,298711696; 202845859; 296649015; 403023349; 365958520,7; 3; 9; 24,9; 13; 9; 3,Élevée,"Normes ISO 22000, Technologies modernes",Tanger; Tétouan; Mohammedia; Oujda; Nador,Moyenne entreprise; ETI; PME; PME; Grande entreprise,"Inflation: 1.2%, Croissance: 2.9%","Technique: 76%, Prix: 24%",Derniers 12 mois: 24 AO similaires,Taux d'annulation secteur: 5%
2,Appel d'offre pour agriculture à Beni Mellal,Marché public concernant le secteur agriculture pour Office National des Aéroports,Travaux,Agriculture,Office National des Aéroports,Maroc,Laâyoune-Sakia El Hamra,Beni Mellal,2025-07-13,2025-08-27,2025-08-30,25369976 DH,SHELL MAROC; REDAL; CAPGEMINI MAROC; COVEC; DELTA HOLDING,20707828.95; 30254639.82; 22230810.31; 30432865.35; 25506376.81,SHELL MAROC,20707828.95 DH,25826504.25 DH,-0.1838,138,Appel d'offres restreint,Critères multiples,5,Non,6,21,85,Attribué,Non applicable,93; 68; 92; 63,67066524; 249922593; 30284916; 108483713; 390112448,18; 25; 5; 8,0; 3; 1; 4,Faible,"Normes ISO 45001, Technologies modernes",Settat; Temara; Meknès; Kenitra; Nador,ETI; PME; ETI; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.6%, Croissance: 4.4%","Technique: 72%, Prix: 28%",Derniers 12 mois: 22 AO similaires,Taux d'annulation secteur: 14%
3,Appel d'offre pour btp à Settat,Marché public concernant le secteur btp pour Agence de Développement Social,Services,BTP,Agence de Développement Social,Maroc,Tanger-Tétouan-Al Hoceïma,Settat,2025-07-13,2025-09-02,2025-09-10,31753988 DH,SOREAD; TOTAL MAROC; LYDEC; ATTIJARI,37464779.46; 33739653.79; 30347232.7; 30038893.36,TOTAL MAROC,33739653.79 DH,32897639.83 DH,0.0625,280,Appel d'offres restreint,Meilleure offre économiquement,4,Non,9,20,96,Sans suite,Offres trop élevées,73; 76; 87,31893153; 75635005; 24380802; 200551278,21; 11; 9,1; 0; 6,Élevée,"Normes ISO 45001, Technologies éprouvées",El Jadida; Agadir; Mohammedia; Fès,ETI; ETI; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.7%, Croissance: 4.4%","Technique: 43%, Prix: 57%",Derniers 12 mois: 38 AO similaires,Taux d'annulation secteur: 16%
4,Appel d'offre pour informatique à Tétouan,Marché public concernant le secteur informatique pour Agence Nationale de Réglementation des Télécommunications,Services,Informatique,Agence Nationale de Réglementation des Télécommunications,Maroc,Béni Mellal-Khénifra,Tétouan,2025-07-13,2025-08-24,2025-08-27,35773477 DH,MANAGEM; COVEC; CHINA RAILWAY; VEOLIA; TRAVOCÉAN,39549080.94; 36874958.42; 30679347.65; 39932275.6; 34328288.02,CHINA RAILWAY,30679347.65 DH,36272790.13 DH,-0.1424,223,Concours,Prix seul,5,Non,6,4,90,Sans suite,Budget insuffisant,71; 88; 64; 86,325946851; 286154432; 466497839; 186409108; 31523302,11; 6; 8; 17,8; 14; 14; 1,Moyenne,"Normes ISO 14001, Technologies innovantes",Casablanca; Temara; Mohammedia; Fès; Berrechid,Grande entreprise; Moyenne entreprise; Grande entreprise; PME; Moyenne entreprise,"Inflation: 3.6%, Croissance: 3.0%","Technique: 61%, Prix: 39%",Derniers 12 mois: 20 AO similaires,Taux d'annulation secteur: 18%
5,Appel d'offre pour énergie à Meknès,Marché public concernant le secteur énergie pour Agence Nationale de la Conservation Foncière,Services,Énergie,Agence Nationale de la Conservation Foncière,Maroc,Rabat-Salé-Kénitra,Meknès,2025-07-13,2025-08-20,2025-09-03,41439645 DH,HP MAROC; CISCO MAROC; LYDEC; SHELL MAROC; MAROC TELECOM; HOLCIM; VEOLIA,47632170.5; 46681914.33; 43288552.23; 49163018.69; 46749632.73; 48016911.27; 41228672.14,LYDEC,43288552.23 DH,46108695.98 DH,0.0446,140,Procédure négociée,Meilleure offre économiquement,7,Non,4,11,100,Attribué,Non applicable,63; 98; 95; 82; 81; 81,356257911; 234580870; 250709107; 172539911; 172338552; 459999927; 415547070,8; 6; 20; 24; 5; 14,1; 11; 3; 8; 11; 8,Faible,"Normes ISO 27001, Technologies innovantes",Berrechid; Temara; Oujda; Kenitra; Nador; Marrakech; Meknès,Grande entreprise; PME; PME; Grande entreprise; Grande entreprise; Grande entreprise; Moyenne entreprise,"Inflation: 3.3%, Croissance: 4.0%","Technique: 43%, Prix: 57%",Derniers 12 mois: 37 AO similaires,Taux d'annulation secteur: 9%
6,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique pour Caisse Nationale de Sécurité Sociale,Services,Informatique,Caisse Nationale de Sécurité Sociale,Maroc,Drâa-Tafilalet,Tanger,2025-07-13,2025-08-17,2025-08-25,38784973 DH,CIMAR; CAPGEMINI MAROC; MICROSOFT MAROC; INWI; LAFARGE,42644764.16; 37756488.93; 42971153.37; 38052286.03; 40837601.75,LAFARGE,40837601.75 DH,40452458.85 DH,0.0529,134,Appel d'offres ouvert,Critères multiples,5,Non,1,15,98,Sans suite,Absence d'offres,66; 90; 68; 76,140941285; 235717925; 459742199; 136881511; 224964198,17; 12; 9; 12,4; 12; 11; 7,Très élevée,"Normes ISO 9001, Technologies innovantes",Safi; Meknès; Khouribga; Kenitra; Meknès,ETI; Moyenne entreprise; ETI; PME; PME,"Inflation: 1.4%, Croissance: 3.0%","Technique: 52%, Prix: 48%",Derniers 12 mois: 29 AO similaires,Taux d'annulation secteur: 5%
7,Appel d'offre pour transport à Tétouan,Marché public concernant le secteur transport pour Agence Nationale de Réglementation des Télécommunications,Travaux,Transport,Agence Nationale de Réglementation des Télécommunications,Maroc,Oriental,Tétouan,2025-07-13,2025-09-03,2025-09-18,1596749 DH,TGCC; Novec; LYDEC; AMENDIS; MANAGEM,1802970.11; 1429866.36; 1378040.38; 1536346.06; 1595119.58,AMENDIS,1536346.06 DH,1548468.50 DH,-0.0378,256,Procédure négociée,Rapport qualité-prix,5,Oui,12,13,98,Attribué,Non applicable,72; 89; 73; 95,40515636; 105264508; 202881786; 143983470; 179527812,4; 19; 9; 20,2; 2; 6; 11,Très élevée,"Normes ISO 14001, Technologies innovantes",Berrechid; Oujda; Safi; Mohammedia; Beni Mellal,PME; ETI; Grande entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.2%, Croissance: 3.7%","Technique: 50%, Prix: 50%",Derniers 12 mois: 34 AO similaires,Taux d'annulation secteur: 13%
8,Appel d'offre pour sécurité à Berrechid,Marché public concernant le secteur sécurité pour Office National des Hydrocarbures,Fournitures,Sécurité,Office National des Hydrocarbures,Maroc,Marrakech-Safi,Berrechid,2025-07-13,2025-09-06,2025-09-11,42312352 DH,Novec; BOUYGUES; VEOLIA; VINCI; MICROSOFT MAROC; ATLAS HOSPITALITY,40481962.07; 37539164.95; 37031944.32; 50073646.88; 38257572.29; 39346808.61,VEOLIA,37031944.32 DH,40455183.19 DH,-0.1248,38,Gré à gré,Rapport qualité-prix,6,Non,14,19,99,Attribué,Non applicable,83; 69; 75; 77; 70,53461142; 143968125; 371267344; 35704659; 270401639; 310894746,17; 19; 7; 12; 23,0; 1; 1; 5; 1,Très élevée,"Normes ISO 22000, Technologies avancées",Settat; Nador; Nador; Nador; Temara; Nador,Grande entreprise; ETI; Moyenne entreprise; Grande entreprise; Grande entreprise; ETI,"Inflation: 3.3%, Croissance: 3.4%","Technique: 80%, Prix: 20%",Derniers 12 mois: 8 AO similaires,Taux d'annulation secteur: 16%
9,Appel d'offre pour formation à Rabat,Marché public concernant le secteur formation pour Agence de Développement Social,Fournitures,Formation,Agence de Développement Social,Maroc,Casablanca-Settat,Rabat,2025-07-13,2025-08-27,2025-09-04,47343332 DH,SOGEC; MANAGEM; CISCO MAROC; INGEMA; COVEC; CDG; MICROSOFT MAROC; OCP,45662285.05; 51972696.76; 50931935.12; 49487094.36; 40646125.82; 47232889.75; 48916405.06; 46895586.23,MANAGEM,51972696.76 DH,47718127.27 DH,0.0978,311,Appel d'offres restreint,Critères multiples,8,Oui,10,17,100,Attribué,Non applicable,87; 60; 61; 75; 93; 96; 87,48417849; 146306388; 247121928; 90076861; 225460086; 186199034; 68370579; 420727831,17; 9; 23; 17; 13; 25; 15,9; 5; 9; 10; 10; 3; 0,Élevée,"Normes ISO 14001, Technologies avancées",Berrechid; Fès; Oujda; Temara; Salé; Beni Mellal; Temara; Khouribga,ETI; Grande entreprise; PME; ETI; ETI; PME; Grande entreprise; ETI,"Inflation: 2.1%, Croissance: 2.3%","Technique: 76%, Prix: 24%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 6%
10,Appel d'offre pour conseil à Tétouan,Marché public concernant le secteur conseil pour Ministère de l'Équipement,Travaux,Conseil,Ministère de l'Équipement,Maroc,Rabat-Salé-Kénitra,Tétouan,2025-07-13,2025-08-18,2025-09-01,10148563 DH,COSUMAR; INGEMA; TGCC,9643908.4; 10845058.8; 11494929.63,COSUMAR,9643908.4 DH,10661298.94 DH,-0.0497,118,Concours,Critères multiples,3,Oui,3,25,96,Sans suite,Absence d'offres,91; 100,187195534; 52250729; 356511487,6; 16,11; 13,Moyenne,"Normes ISO 14001, Technologies avancées",Oujda; Nador; Mohammedia,Grande entreprise; PME; Moyenne entreprise,"Inflation: 1.1%, Croissance: 2.6%","Technique: 80%, Prix: 20%",Derniers 12 mois: 34 AO similaires,Taux d'annulation secteur: 5%
11,Appel d'offre pour médical à Settat,Marché public concernant le secteur médical pour Barid Al-Maghrib,Fournitures,Médical,Barid Al-Maghrib,Maroc,Fès-Meknès,Settat,2025-07-13,2025-08-22,2025-09-05,11866347 DH,MAGHREB STEEL; AMENDIS; COSUMAR; TRAVOCÉAN; HOLCIM; VEOLIA; TOTAL MAROC,11403902.35; 9955373.76; 11994464.81; 12728491.3; 11907556.51; 14179125.03; 10548700.71,AMENDIS,9955373.76 DH,11816802.07 DH,-0.161,104,Appel d'offres restreint,Prix seul,7,Oui,9,3,85,Sans suite,Insuffisance technique,80; 84; 91; 94; 66; 82,98697014; 295162934; 99403481; 84569154; 409194666; 133833072; 86301710,4; 18; 7; 3; 21; 5,15; 12; 13; 1; 11; 7,Très élevée,"Normes ISO 22000, Technologies avancées",Settat; Marrakech; Temara; Temara; Berrechid; Tanger; Fès,ETI; Grande entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; ETI; Moyenne entreprise,"Inflation: 1.8%, Croissance: 4.6%","Technique: 46%, Prix: 54%",Derniers 12 mois: 7 AO similaires,Taux d'annulation secteur: 6%
12,Appel d'offre pour environnement à Safi,Marché public concernant le secteur environnement pour Agence Nationale de l'Assurance Maladie,Fournitures,Environnement,Agence Nationale de l'Assurance Maladie,Maroc,Marrakech-Safi,Safi,2025-07-13,2025-08-17,2025-08-21,11970733 DH,CAPGEMINI MAROC; BOUYGUES; HOLCIM; OCP; CIMAR; EIFFAGE; SHELL MAROC,13729983.36; 13553241.47; 13556748.56; 11785666.81; 10433793.12; 13393675.22; 11913859.89,CIMAR,10433793.12 DH,12623852.63 DH,-0.1284,39,Gré à gré,Critères multiples,7,Non,15,22,94,Attribué,Non applicable,91; 64; 75; 97; 94; 62,224238933; 190169219; 343352961; 406379969; 42360074; 306927877; 215251103,21; 3; 20; 24; 21; 23,15; 5; 5; 3; 11; 15,Moyenne,"Normes ISO 14001, Technologies avancées",Beni Mellal; Casablanca; Nador; El Jadida; Mohammedia; Safi; Tétouan,Grande entreprise; PME; PME; PME; ETI; PME; Moyenne entreprise,"Inflation: 2.3%, Croissance: 4.2%","Technique: 40%, Prix: 60%",Derniers 12 mois: 45 AO similaires,Taux d'annulation secteur: 8%
13,Appel d'offre pour fournitures scolaires à Settat,Marché public concernant le secteur fournitures scolaires pour Caisse de Dépôt et de Gestion,Fournitures,Fournitures scolaires,Caisse de Dépôt et de Gestion,Maroc,Souss-Massa,Settat,2025-07-13,2025-08-04,2025-08-15,34691710 DH,SUEZ; SHELL MAROC; COSUMAR,41336446.34; 27940655.31; 38014946.71,SHELL MAROC,27940655.31 DH,35764016.12 DH,-0.1946,53,Concours,Prix seul,3,Non,2,3,74,Annulé,Budget insuffisant,71; 74,495686937; 162275162; 10947928,14; 10,6; 8,Élevée,"Normes ISO 27001, Technologies certifiées",Salé; Nador; Mohammedia,Grande entreprise; Grande entreprise; Grande entreprise,"Inflation: 1.3%, Croissance: 4.1%","Technique: 66%, Prix: 34%",Derniers 12 mois: 7 AO similaires,Taux d'annulation secteur: 17%
14,Appel d'offre pour maintenance à Meknès,Marché public concernant le secteur maintenance pour Ministère de l'Agriculture,Fournitures,Maintenance,Ministère de l'Agriculture,Maroc,Tanger-Tétouan-Al Hoceïma,Meknès,2025-07-13,2025-08-16,2025-08-21,38697706 DH,SAHAM; SOREAD; ATLAS HOSPITALITY; HOLCIM; HP MAROC; EIFFAGE,32638197.37; 40629948.7; 44935282.47; 41922278.28; 41684114.39; 32017153.66,SAHAM,32638197.37 DH,38971162.48 DH,-0.1566,284,Gré à gré,Meilleure offre économiquement,6,Oui,6,4,100,Annulé,Absence d'offres,89; 61; 89; 64; 91,180821465; 183491205; 17987436; 189091448; 371436403; 428476378,14; 10; 23; 10; 10,6; 5; 12; 1; 0,Moyenne,"Normes ISO 45001, Technologies modernes",Rabat; Berrechid; Temara; Safi; Kenitra; Meknès,Moyenne entreprise; Grande entreprise; ETI; Moyenne entreprise; ETI; PME,"Inflation: 1.9%, Croissance: 2.5%","Technique: 66%, Prix: 34%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 12%
15,Appel d'offre pour maintenance à Tanger,Marché public concernant le secteur maintenance pour Office National de l'Électricité et de l'Eau Potable,Services,Maintenance,Office National de l'Électricité et de l'Eau Potable,Maroc,Fès-Meknès,Tanger,2025-07-13,2025-08-25,2025-09-01,45781403 DH,ATTIJARI; MICROSOFT MAROC; SOREAD; ATLAS HOSPITALITY; SAHAM; DELL MAROC; HOLCIM; TECHNO PARK,42802258.8; 40909250.16; 42966293.88; 37422502.14; 51545718.19; 48037230.77; 53698115.38; 39374012.8,TECHNO PARK,39374012.8 DH,44594422.77 DH,-0.14,270,Appel d'offres ouvert,Rapport qualité-prix,8,Non,7,10,94,Attribué,Non applicable,98; 71; 99; 72; 85; 83; 68,85455678; 90194156; 275850990; 81634010; 102205554; 136396066; 102188150; 190224505,18; 6; 25; 4; 14; 19; 11,12; 13; 1; 14; 1; 13; 15,Très élevée,"Normes ISO 45001, Technologies modernes",Nador; Casablanca; Safi; Temara; Casablanca; Meknès; Casablanca; Meknès,Moyenne entreprise; PME; Grande entreprise; ETI; PME; Moyenne entreprise; ETI; PME,"Inflation: 2.1%, Croissance: 4.0%","Technique: 77%, Prix: 23%",Derniers 12 mois: 43 AO similaires,Taux d'annulation secteur: 5%
16,Appel d'offre pour environnement à Tanger,Marché public concernant le secteur environnement pour Barid Al-Maghrib,Fournitures,Environnement,Barid Al-Maghrib,Maroc,Guelmim-Oued Noun,Tanger,2025-07-13,2025-08-23,2025-09-01,29090796 DH,HP MAROC; CHINA RAILWAY; MANAGEM; REDAL; DELL MAROC; COSUMAR; SGTM; SOGEA,26928761.89; 32388382.0; 27505108.08; 25290650.69; 24378794.99; 34020448.09; 30416827.91; 26119134.43,HP MAROC,26928761.89 DH,28381013.51 DH,-0.0743,305,Gré à gré,Meilleure offre économiquement,8,Non,8,9,94,Annulé,Budget insuffisant,68; 60; 72; 66; 96; 97; 69,258976234; 439964054; 113254556; 421562809; 329702719; 132159325; 486861814; 174092509,9; 12; 21; 12; 22; 18; 15,9; 7; 7; 5; 12; 7; 11,Faible,"Normes ISO 45001, Technologies modernes",Beni Mellal; Kenitra; Khouribga; Salé; Oujda; Agadir; El Jadida; Salé,Moyenne entreprise; ETI; PME; PME; PME; ETI; Moyenne entreprise; Grande entreprise,"Inflation: 3.3%, Croissance: 3.9%","Technique: 62%, Prix: 38%",Derniers 12 mois: 6 AO similaires,Taux d'annulation secteur: 14%
17,Appel d'offre pour formation à Khouribga,Marché public concernant le secteur formation pour Agence de Développement Social,Services,Formation,Agence de Développement Social,Maroc,Tanger-Tétouan-Al Hoceïma,Khouribga,2025-07-13,2025-08-11,2025-08-16,40511343 DH,DELL MAROC; INGEMA; BOUYGUES; CIMAR; SGTM; AFRIQUIA; SAHAM,46281730.52; 41990952.38; 45672480.8; 38307498.08; 39641275.58; 36011018.25; 45708626.56,AFRIQUIA,36011018.25 DH,41944797.45 DH,-0.1111,350,Appel d'offres restreint,Rapport qualité-prix,7,Non,15,22,88,Annulé,Offres trop élevées,100; 80; 85; 84; 78; 71,277560558; 35720877; 443526573; 159105759; 148623628; 229453127; 44950172,21; 8; 14; 24; 17; 16,12; 11; 2; 6; 14; 0,Élevée,"Normes ISO 45001, Technologies certifiées",Nador; Safi; Salé; Fès; Oujda; Fès; Meknès,Grande entreprise; Grande entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; PME; Moyenne entreprise,"Inflation: 4.0%, Croissance: 3.1%","Technique: 75%, Prix: 25%",Derniers 12 mois: 38 AO similaires,Taux d'annulation secteur: 19%
18,Appel d'offre pour btp à Rabat,Marché public concernant le secteur btp pour Royal Air Maroc,Fournitures,BTP,Royal Air Maroc,Maroc,Fès-Meknès,Rabat,2025-07-13,2025-08-08,2025-08-12,41552602 DH,TRAVOCÉAN; TECHNO PARK; VINCI; BMCE; ORANGE MAROC; IBM MAROC; MICROSOFT MAROC,44044475.64; 42948068.36; 39369837.69; 47353848.18; 35640800.83; 43654311.6; 35383290.38,MICROSOFT MAROC,35383290.38 DH,41199233.24 DH,-0.1485,298,Appel d'offres restreint,Meilleure offre économiquement,7,Non,11,19,88,Sans suite,Manque de budget,100; 97; 79; 83; 62; 85,167343833; 145606176; 250469776; 26430437; 435804459; 74987224; 148361651,22; 12; 8; 8; 22; 22,4; 15; 4; 13; 13; 13,Moyenne,"Normes ISO 9001, Technologies éprouvées",Oujda; Agadir; Beni Mellal; Safi; Berrechid; Temara; Casablanca,PME; Grande entreprise; ETI; ETI; ETI; Grande entreprise; Moyenne entreprise,"Inflation: 2.0%, Croissance: 2.5%","Technique: 74%, Prix: 26%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 12%
19,Appel d'offre pour conseil à El Jadida,Marché public concernant le secteur conseil pour Agence de Développement Social,Travaux,Conseil,Agence de Développement Social,Maroc,Casablanca-Settat,El Jadida,2025-07-13,2025-08-20,2025-09-01,8299969 DH,SHELL MAROC; OCP; AFRIQUIA; VINCI; BMCE; SAHAM; AMENDIS; MICROSOFT MAROC,7752542.25; 6842248.82; 9005753.3; 6843456.37; 7131755.5; 8926068.54; 8050724.88; 7112110.62,OCP,6842248.82 DH,7708082.54 DH,-0.1756,363,Concours,Rapport qualité-prix,8,Oui,15,20,98,Annulé,Contraintes réglementaires,82; 66; 75; 88; 77; 76; 60,316185379; 330693899; 323547594; 424058466; 457146851; 189608735; 230479328; 362546499,9; 7; 3; 13; 11; 8; 8,14; 5; 3; 11; 3; 14; 8,Très élevée,"Normes ISO 45001, Technologies certifiées",Tétouan; Salé; Beni Mellal; Beni Mellal; Agadir; Tanger; Tétouan; Mohammedia,ETI; PME; ETI; PME; Grande entreprise; Moyenne entreprise; PME; PME,"Inflation: 1.6%, Croissance: 4.7%","Technique: 70%, Prix: 30%",Derniers 12 mois: 32 AO similaires,Taux d'annulation secteur: 20%
20,Appel d'offre pour informatique à Settat,Marché public concernant le secteur informatique pour Ministère de l'Éducation,Travaux,Informatique,Ministère de l'Éducation,Maroc,Marrakech-Safi,Settat,2025-07-13,2025-08-04,2025-08-15,38236525 DH,IBM MAROC; CIMAR; SOGEC; AFRIQUIA; SHELL MAROC; BMCE,41932235.11; 42541322.35; 33292045.77; 42511163.68; 36578600.51; 33902076.77,SOGEC,33292045.77 DH,38459574.03 DH,-0.1293,72,Concours,Prix seul,6,Oui,9,12,88,Annulé,Absence d'offres,65; 85; 71; 69; 62,307955095; 462207256; 139548715; 258984325; 124094195; 434772968,17; 12; 4; 16; 3,7; 7; 4; 4; 0,Élevée,"Normes ISO 45001, Technologies innovantes",Agadir; Settat; Meknès; Kenitra; Fès; Kenitra,PME; Grande entreprise; Moyenne entreprise; Moyenne entreprise; PME; PME,"Inflation: 3.5%, Croissance: 2.6%","Technique: 42%, Prix: 58%",Derniers 12 mois: 36 AO similaires,Taux d'annulation secteur: 7%
21,Appel d'offre pour fournitures scolaires à Temara,Marché public concernant le secteur fournitures scolaires pour Agence Nationale de la Conservation Foncière,Services,Fournitures scolaires,Agence Nationale de la Conservation Foncière,Maroc,Guelmim-Oued Noun,Temara,2025-07-13,2025-08-14,2025-08-18,4840631 DH,SGTM; HOLCIM; DELTA HOLDING,5118461.17; 4342717.39; 5381161.64,SGTM,5118461.17 DH,4947446.73 DH,0.0574,290,Appel d'offres ouvert,Critères multiples,3,Non,3,12,94,Attribué,Non applicable,69; 75,335464712; 261617471; 262241797,6; 19,4; 15,Très élevée,"Normes ISO 9001, Technologies avancées",Meknès; Fès; Fès,PME; PME; Moyenne entreprise,"Inflation: 1.0%, Croissance: 3.6%","Technique: 73%, Prix: 27%",Derniers 12 mois: 15 AO similaires,Taux d'annulation secteur: 11%
22,Appel d'offre pour médical à Tétouan,Marché public concernant le secteur médical pour Office de la Formation Professionnelle,Services,Médical,Office de la Formation Professionnelle,Maroc,Marrakech-Safi,Tétouan,2025-07-13,2025-08-05,2025-08-13,17161669 DH,EIFFAGE; TGCC; SUEZ,15194316.75; 14389008.66; 17284949.31,TGCC,14389008.66 DH,15622758.24 DH,-0.1616,274,Concours,Critères multiples,3,Oui,3,21,97,Sans suite,Manque de budget,70; 62,468846780; 258012278; 175287731,17; 22,5; 15,Élevée,"Normes ISO 9001, Technologies avancées",Beni Mellal; Agadir; Safi,Grande entreprise; ETI; PME,"Inflation: 3.7%, Croissance: 4.2%","Technique: 50%, Prix: 50%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 15%
23,Appel d'offre pour sécurité à Rabat,Marché public concernant le secteur sécurité pour Ministère de la Justice,Fournitures,Sécurité,Ministère de la Justice,Maroc,Guelmim-Oued Noun,Rabat,2025-07-13,2025-08-03,2025-08-10,49415162 DH,CISCO MAROC; TGCC; TECHNO PARK; VINCI; TRAVOCÉAN,53456506.04; 58417435.65; 54800968.98; 55018706.74; 48472246.27,TGCC,58417435.65 DH,54033172.74 DH,0.1822,233,Appel d'offres ouvert,Meilleure offre économiquement,5,Non,6,13,96,Annulé,Absence d'offres,74; 71; 82; 69,297852647; 291631862; 88443786; 410300011; 208552279,18; 24; 9; 11,9; 2; 14; 3,Moyenne,"Normes ISO 22000, Technologies éprouvées",Beni Mellal; Fès; Tanger; Settat; Oujda,Grande entreprise; PME; Moyenne entreprise; ETI; Grande entreprise,"Inflation: 2.5%, Croissance: 2.6%","Technique: 45%, Prix: 55%",Derniers 12 mois: 36 AO similaires,Taux d'annulation secteur: 13%
