id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procédure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation
1,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Travaux,Informatique,Ministère de l’Équipement,Maroc,Rabat-Salé-Kénitra,Tanger,2025-02-12,2025-04-04,2025-04-10,8705268,"['INGEMA', 'SOGEA', 'Novec', 'SOMAGEC']","[8167288.211826909, 8582253.139145456, 10318299.24476902, 10444658.18957202]",SOGEA,8582253.139145456,9378124.7,-0.0141,251,Appel d’offres restreint,Meilleure offre économiquement,4,Non,2,6,93,Sans suite,Non-conformité des offres
2,Appel d'offre pour fournitures scolaires à Agadir,Marché public concernant le secteur fournitures scolaires dans la région de Casablanca-Settat.,Travaux,Fournitures scolaires,ONCF,Maroc,Casablanca-Settat,Agadir,2024-11-17,2025-01-04,2025-01-22,9494740,"['SOGEA', 'INGEMA', 'Novec', 'SOMAGEC']","[9809558.297132498, 9886969.264794031, 10867740.83199515, 11293130.833556615]",INGEMA,9886969.264794031,10464349.81,0.0413,137,Appel d’offres restreint,Meilleure offre économiquement,4,Oui,0,14,97,Attribué,
3,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Fès-Meknès.,Fournitures,Énergie,ONCF,Maroc,Fès-Meknès,Oujda,2024-07-30,2024-08-28,2024-09-16,3192625,"['INGEMA', 'Novec', 'SOGEA', 'Jet Contractors']","[3000097.1630944125, 3424942.8922352525, 3546807.004592175, 3668729.2474177773]",SOGEA,3546807.004592175,3410144.08,0.1109,255,Gré à gré,Meilleure offre économiquement,4,Oui,13,5,61,Attribué,
4,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie dans la région de Oriental.,Services,Énergie,Ministère de l’Équipement,Maroc,Oriental,Fès,2023-09-05,2023-10-30,2023-11-16,3848680,"['TGCC', 'SOMAGEC', 'Novec', 'INGEMA']","[4212382.9687019, 4286622.455726077, 4316181.345509117, 4511333.007117218]",Novec,4316181.345509117,4331629.94,0.1215,347,Appel d’offres ouvert,Note technique et prix,4,Oui,4,13,63,Attribué,
5,Appel d'offre pour transport à Tanger,Marché public concernant le secteur transport dans la région de Tanger-Tétouan-Al Hoceïma.,Services,Transport,Ministère de la Santé,Maroc,Tanger-Tétouan-Al Hoceïma,Tanger,2023-07-13,2023-08-17,2023-09-01,5846602,"['SOGEA', 'TGCC', 'Novec', 'SOMAGEC']","[5401254.0555177955, 5826019.262871581, 5936675.039889364, 6626181.261334724]",SOGEA,5401254.0555177955,5947532.4,-0.0762,95,Gré à gré,Meilleure offre économiquement,4,Oui,5,9,80,Attribué,
6,Appel d'offre pour transport à Rabat,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Fournitures,Transport,ONCF,Maroc,Fès-Meknès,Rabat,2023-03-06,2023-04-21,2023-05-04,2650745,"['INGEMA', 'Jet Contractors', 'SOGEA', 'SOMAGEC']","[2773877.536302668, 2999368.9903683653, 3048030.518814011, 3142802.94639446]",Jet Contractors,2999368.9903683653,2991020.0,0.1315,106,Appel d’offres ouvert,Note technique et prix,4,Non,7,13,88,Attribué,
7,Appel d'offre pour médical à Fès,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Services,Médical,Ministère de la Santé,Maroc,Rabat-Salé-Kénitra,Fès,2025-04-23,2025-06-04,2025-06-13,922631,"['SOGEA', 'TGCC']","[860222.9552977537, 1101864.6127407057]",TGCC,1101864.6127407057,981043.78,0.1943,292,Appel d’offres restreint,Meilleure offre économiquement,2,Non,14,16,86,Annulé,Manque de budget
8,Appel d'offre pour transport à Rabat,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Services,Transport,ONCF,Maroc,Fès-Meknès,Rabat,2024-02-04,2024-03-15,2024-03-24,6917224,"['Novec', 'SOGEA', 'TGCC']","[7097247.193866325, 7485349.10372679, 8051668.028114918]",TGCC,8051668.028114918,7544754.78,0.164,270,Appel d’offres restreint,Prix seul,3,Non,2,18,73,Annulé,
9,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Casablanca-Settat.,Services,BTP,ONEE,Maroc,Casablanca-Settat,Oujda,2024-06-09,2024-07-28,2024-08-10,1072862,"['SOGEA', 'Jet Contractors', 'SOMAGEC', 'Novec', 'TGCC']","[980201.1283709717, 991507.4642200369, 1014624.2934303288, 1042768.7823851445, 1249140.8179534657]",SOGEA,980201.1283709717,1055648.5,-0.0864,171,Appel d’offres restreint,Meilleure offre économiquement,5,Oui,2,18,69,Sans suite,Manque de budget
10,Appel d'offre pour médical à Agadir,Marché public concernant le secteur médical dans la région de Oriental.,Fournitures,Médical,Ministère de la Santé,Maroc,Oriental,Agadir,2024-02-26,2024-03-22,2024-04-04,9476208,"['Jet Contractors', 'SOMAGEC', 'Novec']","[8878630.424141465, 9137953.62810071, 11188421.195600955]",Novec,11188421.195600955,9735001.75,0.1807,239,Gré à gré,Prix seul,3,Non,8,18,90,Attribué,
